attendance_id,student_id,attendance_date,status
1,1,2023-01-01,Present
2,2,2023-01-01,Absent
3,3,2023-01-01,Present
4,4,2023-01-01,Present
5,5,2023-01-01,Absent
6,6,2023-01-01,Present
7,7,2023-01-01,Present
8,8,2023-01-01,Absent
9,9,2023-01-01,Present
10,10,2023-01-01,Present
11,11,2023-01-01,Absent
12,12,2023-01-01,Present
13,13,2023-01-01,Present
14,14,2023-01-01,Absent
15,15,2023-01-01,Present
16,16,2023-01-01,Present
17,17,2023-01-01,Absent
18,18,2023-01-01,Present
19,19,2023-01-01,Present
20,20,2023-01-01,Absent
21,21,2023-01-01,Present
22,22,2023-01-01,Present
23,23,2023-01-01,Absent
24,24,2023-01-01,Present
25,25,2023-01-01,Present
26,26,2023-01-01,Absent
27,27,2023-01-01,Present
28,28,2023-01-01,Present
29,29,2023-01-01,Absent
30,30,2023-01-01,Present
31,31,2023-01-01,Present
32,32,2023-01-01,Absent
33,33,2023-01-01,Present
34,34,2023-01-01,Present
35,35,2023-01-01,Absent
36,36,2023-01-01,Present
37,37,2023-01-01,Present
38,38,2023-01-01,Absent
39,39,2023-01-01,Present
40,40,2023-01-01,Present
41,41,2023-01-01,Absent
42,42,2023-01-01,Present
43,43,2023-01-01,Present
44,44,2023-01-01,Absent
45,45,2023-01-01,Present
46,46,2023-01-01,Present
47,47,2023-01-01,Absent
48,48,2023-01-01,Present
49,49,2023-01-01,Present
50,50,2023-01-01,Absent
51,51,2023-01-01,Present
52,52,2023-01-01,Present
53,53,2023-01-01,Absent
54,54,2023-01-01,Present
55,55,2023-01-01,Present
56,56,2023-01-01,Absent
57,57,2023-01-01,Present
58,58,2023-01-01,Present
59,59,2023-01-01,Absent
60,60,2023-01-01,Present
61,61,2023-01-01,Present
62,62,2023-01-01,Absent
63,63,2023-01-01,Present
64,64,2023-01-01,Present
65,65,2023-01-01,Absent
66,66,2023-01-01,Present
67,67,2023-01-01,Present
68,68,2023-01-01,Absent
69,69,2023-01-01,Present
70,70,2023-01-01,Present
